id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,availability_category,review_activity,host_type
887179061681202083,The Comfort,459472925,Gabriel,THIRD WARD,42.6628771,-73.76534029999999,Private room,50.0,7.0,30,2025-06-08,0.8,2,312,0,High availability,Medium review activity,Multi-listing host
888859204851381094,Walk to Downtown Albany: Ten Broeck Triangle Apt!,121680792,Evolve,THIRD WARD,42.6573,-73.7521,Entire home/apt,190.0,2.0,19,2026-05-31,0.51,4,354,3,High availability,Medium review activity,Multi-listing host
898743867240851780,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,Rashawn,TENTH WARD,42.66087,-73.78655,Entire home/apt,307.0,2.0,66,2026-06-07,1.81,1,245,13,High availability,High review activity,Single-listing host
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,257.0,1.0,65,2026-05-30,1.78,16,182,15,High availability,High review activity,Multi-listing host
902326803627859755,"""The LEO Home"" Private Bedroom 4",349460842,Scott,TENTH WARD,42.66174,-73.78325,Private room,46.0,30.0,2,2026-04-13,0.36,21,325,2,High availability,Low review activity,Multi-listing host
904392960639597224,/Luxury Modern Western Hideout\,4259750,Peter,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,196.0,1.0,23,2025-12-14,0.63,8,264,4,High availability,Medium review activity,Multi-listing host
905007131419044966,*The Red House* 4 Bedrooms•Beautifully Renovated,349460842,Scott,TENTH WARD,42.66217,-73.78299,Entire home/apt,300.0,1.0,108,2026-06-01,3.03,21,352,40,High availability,High review activity,Multi-listing host
916983723755256572,Luxury apartment near Saint Peter / Albany Med,283643924,Joe,FOURTEENTH WARD,42.65872,-73.79555,Entire home/apt,73.0,28.0,7,2026-03-06,0.2,1,273,3,High availability,Low review activity,Single-listing host
917510613914219375,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,TENTH WARD,42.66261,-73.79158,Private room,92.0,1.0,18,2026-02-15,0.5,2,36,8,Low availability,Medium review activity,Multi-listing host
919055506310955442,Room for rent,502751555,Grace,FIFTH WARD,42.67292,-73.7776,Private room,107.0,1.0,0,,0.0,1,364,0,High availability,No reviews,Single-listing host
921076441920995839,Work hard! Play hard!,521669673,Kody,THIRD WARD,42.6586,-73.75743,Entire home/apt,103.0,7.0,3,2024-12-21,0.09,4,268,0,High availability,Low review activity,Multi-listing host
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,THIRTEENTH WARD,42.67224,-73.79301,Entire home/apt,172.0,2.0,52,2026-05-16,1.47,14,10,11,Low availability,High review activity,Multi-listing host
934035097653060273,Historic Washington Park Inn | Room 7 | Floor 2,493882819,Terra,SIXTH WARD,42.65655,-73.77434,Private room,167.0,1.0,10,2026-05-16,0.28,6,178,2,Medium availability,Low review activity,Multi-listing host
937837897631191844,Hudson 2 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65867,-73.77479,Private room,174.0,1.0,3,2026-04-19,0.09,11,189,1,High availability,Low review activity,Multi-listing host
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,Argus,TENTH WARD,42.65908,-73.77456,Private room,174.0,1.0,9,2025-08-02,0.26,11,147,2,Medium availability,Low review activity,Multi-listing host
937927979762952955,Hudson 4 at The Argus Hotel,526358730,Argus,TENTH WARD,42.66043,-73.77432,Private room,174.0,1.0,3,2025-07-10,0.14,11,188,1,High availability,Low review activity,Multi-listing host
937935210290408974,Hudson 5 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65847,-73.77272,Private room,174.0,1.0,7,2026-05-02,0.22,11,190,1,High availability,Low review activity,Multi-listing host
937943638262956751,Whalen 1 Suite at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65908,-73.77326,Private room,292.0,1.0,4,2026-03-01,0.13,11,182,2,High availability,Low review activity,Multi-listing host
937959604296602771,Whalen 2 Deluxe at The Argus Hotel,526358730,Argus,TENTH WARD,42.66003,-73.7732,Private room,280.0,1.0,2,2026-03-05,0.19,11,184,2,High availability,Low review activity,Multi-listing host
937966967490420635,Whalen 3 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65857,-73.7744,Private room,241.0,1.0,0,,0.0,11,185,0,High availability,No reviews,Multi-listing host
938260134617291567,Whalen 4 at The Argus Hotel,526358730,Argus,SIXTH WARD,42.65893,-73.77448,Private room,241.0,1.0,0,,0.0,11,187,0,High availability,No reviews,Multi-listing host
938266199766701429,Knickerbocker 1 The Argus Hotel,526358730,Argus,TENTH WARD,42.66037,-73.77327,Private room,241.0,1.0,0,,0.0,11,190,0,High availability,No reviews,Multi-listing host
938271786418327576,Knickerbocker 3 The Argus Hotel,526358730,Argus,SIXTH WARD,42.65868,-73.77333,Private room,331.0,1.0,0,,0.0,11,187,0,High availability,No reviews,Multi-listing host
938280419686165005,Historic Carriage House  in Washington Park,526358730,Argus,TENTH WARD,42.66036,-73.7729,Entire home/apt,431.0,1.0,19,2026-02-22,0.55,11,181,3,High availability,Medium review activity,Multi-listing host
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,F S,ELEVENTH WARD,42.6708367,-73.7853116,Private room,76.0,5.0,27,2025-09-15,0.77,5,334,1,High availability,Medium review activity,Multi-listing host
